序号,代码,名称,现价 ,涨跌幅(%) ,涨跌 ,涨速(%) ,换手(%) ,量比 ,振幅(%) ,成交额 ,流通股 ,流通市值 ,市盈率 
247,601216,君正集团,5.83,0.34,0.02,0.00,1.74,0.55,1.89,8.58亿,84.38亿,491.94亿,13.19
248,300348,长亮科技,15.22,0.33,0.05,0.07,3.91,0.88,2.37,4.23亿,7.09亿,107.94亿,--
249,301339,通行宝,15.45,0.33,0.05,0.07,2.83,0.82,0.84,0.73亿,1.68亿,25.97亿,40.00
250,600332,白云山,25.32,0.32,0.08,0.00,0.83,1.17,0.47,2.95亿,14.06亿,355.97亿,9.33
251,002197,证通电子,9.72,0.31,0.03,-0.10,3.15,0.69,1.65,1.63亿,5.34亿,51.90亿,--
252,000639,西王食品,3.31,0.30,0.01,0.30,3.68,0.85,1.21,1.31亿,10.79亿,35.73亿,1206.02
253,603123,翠微股份,13.66,0.29,0.04,0.07,4.70,0.94,1.91,4.17亿,6.52亿,89.10亿,--
254,688343,云天励飞,87.03,0.29,0.25,0.05,5.79,1.01,4.56,13.27亿,2.64亿,229.61亿,--
255,688676,金盘科技,98.91,0.28,0.28,-0.01,2.88,0.62,3.76,13.24亿,4.60亿,454.77亿,70.23
256,300959,线上线下,96.29,0.28,0.27,0.34,6.00,0.70,3.12,3.01亿,0.52亿,50.41亿,1655.26
257,002518,科士达,57.75,0.26,0.15,0.00,2.05,0.58,4.46,6.67亿,5.65亿,326.37亿,56.56
258,002425,凯撒文化,4.04,0.25,0.01,0.25,2.77,1.14,1.99,1.07亿,9.56亿,38.62亿,--
259,000032,深桑达A,21.80,0.23,0.05,0.05,2.25,0.80,2.67,5.56亿,11.38亿,248.07亿,--
260,603153,上海建科,17.98,0.22,0.04,0.00,1.46,1.02,1.06,0.35亿,1.35亿,24.27亿,52.55
261,600580,卧龙电驱,47.00,0.21,0.10,0.02,4.85,0.86,3.43,35.40亿,15.58亿,732.09亿,67.27
262,301018,申菱环境,65.13,0.20,0.13,0.08,3.40,0.73,2.66,4.39亿,1.99亿,129.61亿,86.59
263,600710,苏美达,11.40,0.18,0.02,0.00,1.23,1.06,1.84,1.84亿,13.07亿,148.97亿,10.12
264,688620,安凯微,12.87,0.16,0.02,-0.08,3.24,0.93,1.40,0.96亿,2.32亿,29.90亿,--
265,300792,壹网壹创,41.13,0.15,0.06,0.29,8.27,0.79,3.68,7.30亿,2.13亿,87.42亿,74.23
266,002686,亿利达,7.00,0.14,0.01,0.00,2.50,0.98,1.15,0.91亿,5.23亿,36.59亿,82.60
267,600697,欧亚集团,14.11,0.14,0.02,0.00,4.73,0.82,1.06,1.04亿,1.55亿,21.92亿,94.61
268,603171,税友股份,78.68,0.14,0.11,0.10,1.58,0.90,4.82,5.07亿,4.06亿,319.35亿,217.12
269,300131,英唐智控,15.41,0.13,0.02,0.00,4.87,0.72,2.86,7.78亿,10.42亿,160.61亿,503.18
270,002815,崇达技术,16.15,0.12,0.02,0.12,17.93,2.43,5.46,22.57亿,7.77亿,125.51亿,47.03
271,002771,真视通,15.89,0.06,0.01,0.00,2.30,0.77,1.01,0.64亿,1.75亿,27.73亿,--
272,002654,万润科技,16.15,0.06,0.01,0.00,7.43,0.70,3.59,10.09亿,8.45亿,136.51亿,368.84
273,301366,一博科技,38.53,0.05,0.02,0.00,5.33,0.94,1.43,1.56亿,0.76亿,29.39亿,352.56
274,600602,云赛智联,19.59,0.05,0.01,0.05,1.69,0.85,1.12,3.55亿,10.74亿,210.46亿,138.38
275,300710,万隆光电,32.17,0.03,0.01,0.03,6.08,0.81,2.77,1.45亿,0.75亿,23.99亿,--
276,301157,华塑科技,55.33,0.02,0.01,-0.09,4.31,0.81,2.06,0.49亿,0.21亿,11.43亿,130.77
277,300240,飞力达,8.05,0.00,0.00,0.00,2.69,0.93,1.24,0.78亿,3.63亿,29.25亿,67.58
278,301085,亚康股份,55.91,0.00,0.00,0.02,3.50,1.02,2.67,1.15亿,0.59亿,32.94亿,1343.77
279,601868,中国能建,2.51,0.00,0.00,0.00,1.43,0.52,1.59,11.57亿,324.29亿,813.96亿,24.87
280,002335,科华数据,62.16,-0.03,-0.02,0.02,4.09,0.84,2.23,11.56亿,4.55亿,282.62亿,69.75
281,300235,方直科技,15.49,-0.07,-0.01,0.72,5.96,0.84,3.35,1.85亿,2.03亿,31.47亿,415.38
282,002368,太极股份,25.71,-0.08,-0.02,0.04,1.88,0.90,1.24,3.00亿,6.20亿,159.51亿,2969.81
283,688489,三未信安,45.96,-0.09,-0.04,0.00,0.73,0.84,2.26,0.38亿,1.13亿,52.07亿,--
284,301169,零点有数,64.53,-0.09,-0.06,0.00,3.30,1.07,3.72,1.54亿,0.72亿,46.47亿,--
285,000158,常山北明,21.22,-0.09,-0.02,0.00,2.33,0.87,1.08,7.82亿,15.88亿,336.96亿,--
286,003032,*ST传智,6.79,-0.15,-0.01,-0.15,1.83,0.83,1.18,0.34亿,2.76亿,18.76亿,--
287,603128,华贸物流,6.09,-0.16,-0.01,-0.16,1.45,1.35,0.66,1.16亿,13.09亿,79.72亿,19.49
288,002401,中远海科,17.00,-0.18,-0.03,0.06,1.33,0.69,0.94,0.84亿,3.71亿,63.13亿,357.09
289,688100,威胜信息,43.32,-0.18,-0.08,0.16,0.94,0.59,1.57,2.00亿,4.92亿,213.00亿,33.69
290,688589,力合微,25.98,-0.19,-0.05,0.04,3.85,0.86,2.11,1.44亿,1.45亿,37.76亿,126.53
291,000997,新大陆,28.65,-0.24,-0.07,0.04,1.48,0.66,1.95,4.29亿,10.07亿,288.63亿,23.71
292,603373,安邦护卫,40.75,-0.24,-0.10,0.03,2.12,0.83,1.15,0.39亿,0.45亿,18.51亿,36.51
293,603602,纵横通信,16.16,-0.25,-0.04,0.06,4.61,0.73,1.17,1.72亿,2.31亿,37.34亿,91.54
